Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Paracetamol 151,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 151,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 151,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 151,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 151,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 152,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 152,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 152,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 152,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 152,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 153,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 153,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 153,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Metformin 153,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 153,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 154,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 154,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 154,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 154,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 154,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 155,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 155,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 155,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 155,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 155,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Paracetamol 156,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 156,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 156,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 156,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 156,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Paracetamol 157,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 157,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 157,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Metformin 157,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 157,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 158,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 158,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 158,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 158,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 158,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 159,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 159,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 159,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 159,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 159,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 160,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 160,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 160,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 160,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 160,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 161,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 161,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 161,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 161,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 161,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 162,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 162,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 162,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 162,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 162,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 163,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 163,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 163,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 163,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 163,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 164,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 164,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 164,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 164,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 164,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 165,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 165,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 165,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 165,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 165,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 166,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 166,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 166,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 166,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 166,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 167,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 167,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 167,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 167,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 167,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Paracetamol 168,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 168,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 168,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 168,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 168,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 169,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 169,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 169,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 169,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
